service_date,route_id,direction_id,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway
2025-01-02,100,Inbound,65553157.0,52720,welst,5,Endpoint,Schedule,1900-01-01T14:06:00Z,1900-01-01T14:03:22Z,1020.0,
2025-01-02,100,Outbound,65553158.0,52711,welst,1,Startpoint,Schedule,1900-01-01T14:13:00Z,1900-01-01T14:13:35Z,1200.0,
2025-01-02,100,Outbound,65553158.0,8301,elm,5,Endpoint,Schedule,1900-01-01T14:25:00Z,1900-01-01T14:25:08Z,1140.0,
2025-01-02,100,Inbound,65553159.0,8302,elm,1,Startpoint,Schedule,1900-01-01T14:30:00Z,1900-01-01T14:30:49Z,1200.0,
2025-01-02,100,Inbound,65553159.0,52720,welst,5,Endpoint,Schedule,1900-01-01T14:43:00Z,1900-01-01T14:43:05Z,1200.0,
2025-01-02,100,Outbound,65553160.0,52711,welst,1,Startpoint,Schedule,1900-01-01T14:53:00Z,1900-01-01T14:53:58Z,1200.0,
2025-01-02,100,Outbound,65553160.0,8301,elm,5,Endpoint,Schedule,1900-01-01T15:05:00Z,1900-01-01T15:03:50Z,1200.0,
2025-01-02,100,Outbound,65553161.0,52711,welst,1,Startpoint,Schedule,1900-01-01T21:10:00Z,1900-01-01T21:14:05Z,1380.0,
2025-01-02,100,Outbound,65553161.0,8301,elm,5,Endpoint,Schedule,1900-01-01T21:28:00Z,1900-01-01T21:27:22Z,1380.0,
2025-01-02,100,Inbound,65553162.0,8302,elm,1,Startpoint,Schedule,1900-01-01T21:33:00Z,1900-01-01T21:33:22Z,1380.0,
2025-01-02,100,Inbound,65553162.0,52720,welst,5,Endpoint,Schedule,1900-01-01T21:47:00Z,1900-01-01T21:44:35Z,1380.0,
2025-01-02,100,Outbound,65553163.0,52711,welst,1,Startpoint,Schedule,1900-01-01T21:50:00Z,1900-01-01T21:51:26Z,1200.0,
2025-01-02,100,Outbound,65553163.0,8301,elm,5,Endpoint,Schedule,1900-01-01T22:08:00Z,1900-01-01T22:06:16Z,1200.0,
2025-01-02,100,Inbound,65553164.0,8302,elm,1,Startpoint,Schedule,1900-01-01T22:13:00Z,1900-01-01T22:13:46Z,1200.0,
2025-01-02,100,Inbound,65553164.0,52720,welst,5,Endpoint,Schedule,1900-01-01T22:27:00Z,1900-01-01T22:24:48Z,1200.0,
2025-01-02,100,Outbound,65553165.0,52711,welst,1,Startpoint,Schedule,1900-01-01T22:30:00Z,1900-01-01T22:32:09Z,1200.0,
2025-01-02,100,Outbound,65553165.0,8301,elm,5,Endpoint,Schedule,1900-01-01T22:48:00Z,1900-01-01T22:49:18Z,1200.0,
2025-01-02,100,Inbound,65553166.0,8302,elm,1,Startpoint,Schedule,1900-01-01T22:53:00Z,1900-01-01T22:53:23Z,1200.0,
2025-01-02,100,Inbound,65553166.0,52720,welst,5,Endpoint,Schedule,1900-01-01T23:07:00Z,1900-01-01T23:03:13Z,1200.0,
2025-01-02,100,Outbound,65553167.0,52711,welst,1,Startpoint,Schedule,1900-01-01T23:10:00Z,1900-01-01T23:10:11Z,1200.0,
2025-01-02,100,Outbound,65553167.0,8301,elm,5,Endpoint,Schedule,1900-01-01T23:25:00Z,1900-01-01T23:24:12Z,1140.0,
2025-01-02,100,Inbound,65553168.0,8302,elm,1,Startpoint,Schedule,1900-01-01T23:33:00Z,1900-01-01T23:33:03Z,1200.0,
2025-01-02,100,Inbound,65553168.0,52720,welst,5,Endpoint,Schedule,1900-01-01T23:47:00Z,1900-01-01T23:44:40Z,1200.0,
2025-01-02,100,Outbound,65553169.0,52711,welst,1,Startpoint,Schedule,1900-01-01T23:52:00Z,1900-01-01T23:52:25Z,1320.0,
2025-01-02,100,Outbound,65553169.0,8301,elm,5,Endpoint,Schedule,1900-01-02T00:06:00Z,1900-01-02T00:07:34Z,1260.0,
2025-01-02,100,Outbound,65553173.0,52711,welst,1,Startpoint,Schedule,1900-01-01T20:07:00Z,,2220.0,
2025-01-02,100,Outbound,65553173.0,8301,elm,5,Endpoint,Schedule,1900-01-01T20:25:00Z,1900-01-01T20:21:41Z,2400.0,
2025-01-02,100,Inbound,65553174.0,8302,elm,1,Startpoint,Schedule,1900-01-01T20:30:00Z,1900-01-01T20:30:11Z,2400.0,
2025-01-02,100,Inbound,65553174.0,52720,welst,5,Endpoint,Schedule,1900-01-01T20:44:00Z,1900-01-01T20:41:27Z,2400.0,
2025-01-02,100,Outbound,65553175.0,52711,welst,1,Startpoint,Schedule,1900-01-01T20:47:00Z,1900-01-01T20:48:41Z,2400.0,
2025-01-02,100,Outbound,65553175.0,8301,elm,5,Endpoint,Schedule,1900-01-01T21:05:00Z,1900-01-01T21:03:25Z,2400.0,
2025-01-02,100,Inbound,65553176.0,8302,elm,1,Startpoint,Schedule,1900-01-01T21:10:00Z,1900-01-01T21:10:18Z,2400.0,
2025-01-02,100,Inbound,65553176.0,52720,welst,5,Endpoint,Schedule,1900-01-01T21:24:00Z,1900-01-01T21:25:08Z,2400.0,
2025-01-02,100,Outbound,65553177.0,52711,welst,1,Startpoint,Schedule,1900-01-01T21:30:00Z,1900-01-01T21:30:51Z,1200.0,
2025-01-02,100,Outbound,65553177.0,8301,elm,5,Endpoint,Schedule,1900-01-01T21:48:00Z,1900-01-01T21:45:14Z,1200.0,
2025-01-02,100,Inbound,65553178.0,8302,elm,1,Startpoint,Schedule,1900-01-01T21:53:00Z,1900-01-01T21:53:27Z,1200.0,
2025-01-02,100,Inbound,65553178.0,52720,welst,5,Endpoint,Schedule,1900-01-01T22:07:00Z,1900-01-01T22:08:01Z,1200.0,
2025-01-02,100,Outbound,65553179.0,52711,welst,1,Startpoint,Schedule,1900-01-01T22:10:00Z,1900-01-01T22:10:37Z,1200.0,
2025-01-02,100,Outbound,65553179.0,8301,elm,5,Endpoint,Schedule,1900-01-01T22:28:00Z,1900-01-01T22:27:10Z,1200.0,
2025-01-02,100,Inbound,65553180.0,8302,elm,1,Startpoint,Schedule,1900-01-01T22:33:00Z,1900-01-01T22:34:00Z,1200.0,
2025-01-02,100,Inbound,65553180.0,52720,welst,5,Endpoint,Schedule,1900-01-01T22:47:00Z,1900-01-01T22:48:25Z,1200.0,
2025-01-02,100,Outbound,65553181.0,52711,welst,1,Startpoint,Schedule,1900-01-01T22:50:00Z,1900-01-01T22:50:22Z,1200.0,
2025-01-02,100,Outbound,65553181.0,8301,elm,5,Endpoint,Schedule,1900-01-01T23:06:00Z,1900-01-01T23:05:24Z,1080.0,
2025-01-02,100,Inbound,65553182.0,8302,elm,1,Startpoint,Schedule,1900-01-01T23:13:00Z,1900-01-01T23:13:27Z,1200.0,
2025-01-02,100,Inbound,65553182.0,52720,welst,5,Endpoint,Schedule,1900-01-01T23:27:00Z,1900-01-01T23:28:08Z,1200.0,
